Group	Words
198	suprataxatam suprataxata
199	sempiternam sempiterna sempiternum
200	uuentoniensis uuintoniensis
201	benedictionis benedictiones
202	construendum construendam
203	suggestionem suggestione sugestionem
204	conscencientibus consencientibus
205	æthilstanum æthelstanum
206	consenciente consentiente
207	eccleshale ecclesheale
208	dydelingdune dydelingtune
209	praeferenda preferenda
210	dependentes defendentes
211	presbitero presbiteros
212	pereclitamur periclitamur
213	succedentia succedenti
214	recuperacionem recuperationem recuperacione
215	munificencia munificentia munificencie munificenciam
216	gewittnysse gewittnesse gewitnysse
217	nominatissimo nominatissima
218	coppanforde coppanforda
219	relinquendi relinquenda reliquendi
220	hemmingeforde hæmmingeforde hemmingeford
221	tranquillam tranquillum tranquilla
222	commotationem commotatione commutationem
223	ambiguitatem ambiguitate
224	congregacionis congregationis congregacioni
225	dcccclviiii dccccxlviiii dcccclviii dcccclxviiii dcccclxiiii
226	comendamus commendamus
227	ammonicionibus ammonitionibus
228	ministrorum sinistrorum
229	hengstesrig hengstesreg
230	nætelingewege nætelingeweg
231	triumphatore triumphator triumphatori
232	apostolica apostolicae apostolicam
233	ethelwaldus ethelwoldus ethelwardus
234	reuertantur reuertatur
235	affirmationi affirmatione affirmationis
236	constituatis constitutis
237	messehakele massehakele
238	thesaurizare thesaurizate
239	obtemperanti obtemperant
240	universorum uniuersorum
241	prenotatam praenotatam
242	pertinencia pertinentia
243	eadburggebyrig eadburgebyrig
244	sceldeforda scealdeforda
245	perhenniter perenniter
246	dccccxxxvi dccccxxxvii dcccclxxxvi
247	examinacionis examinationis
248	persistencium persistentium
249	animadversione animaduersione
250	aecclesiastica ecclesiastica aecclesiasticae aecclesiasticam aecclesiastice
251	deuotissime deuotissima deuotissimi deuotissimo devotissime
252	contulerunt consulerunt
253	constitutiones constitutione constitutionis
254	erchebissop archebissop
255	sufficerent sufficeret
256	enlippanberwe enlipanberwe
257	possidetis possidentis
258	principalitatem principalitate
259	sceptrigerae sceptrigera sceptrigere
260	aminiculante amminiculante adminiculante
261	herfordensis herefordensis
262	dorcestrensis durcestrensis
263	æðelingtune æþelingtune
264	infangeneþeofes infangeneþeofe
265	restituere restituerem
266	perpetuamque perpetuasque
267	brittanniæ brittannicæ
268	excommunicetur excommunicentur
269	uuiltoniensis uuintoniensis
270	eastwearde eastewearde eastweardne
271	nominanatur nominantur
272	presumpsit praesumpsit
273	fælicitatem felicitatem
274	excommunicatus excommunicamus excommunicatum
275	conversantibus conuersantibus conersantibus
276	aldhelmique aldelmique
277	generalitatem generalitate
278	transitoriae transitorias transitoria transitorie
279	decreuerint decreuerunt decreuerit
280	ealwealdendes ealweldendes
281	construccione construccionem constructione construcione
282	corroboranda corroborandam corroborando
283	providentes prouidentes
284	doruornensis dorouornensis doruernensis
285	potentissime potentissimo
286	wolcnesteda wolcnestede
287	praepositi praepositis
288	operatione operationem
289	consuetudinem consuetudines consuetudine consuetudinum
290	examinatis examinantis
291	constitutum constitutus
292	presequentes prosequentes
293	possederant possederat possederunt
294	frendliche freondliche
295	norþeweard norþewearde
296	consentiendo consenciendo consensiendo
297	penitentiam poenitentiam penitentia
