Word1	Word2	Similarity
contemplationi	contemplationis	0.9333333333333333
sanctimonalium	sanctimonialium	0.9333333333333333
contemplationis	contemplationi	0.9333333333333333
consentientibus	consencientibus	0.9333333333333333
sanctimonialium	sanctimonalium	0.9333333333333333
consencientibus	consentientibus	0.9333333333333333
distributione	distributionem	0.9285714285714286
confirmationi	confirmationis	0.9285714285714286
sanctimonialis	sanctimoniali	0.9285714285714286
congregationi	congregationis	0.9285714285714286
contemplatione	contemplationi	0.9285714285714286
perturbatione	perturbationem	0.9285714285714286
sanctimoniali	sanctimonialis	0.9285714285714286
distributionem	distributione	0.9285714285714286
confirmationem	confirmatione	0.9285714285714286
constructionem	constructione	0.9285714285714286
perturbationem	perturbatione	0.9285714285714286
restaurationem	restauratione	0.9285714285714286
confirmatione	confirmationem	0.9285714285714286
congregationis	congregationi	0.9285714285714286
recuperationem	recuperatione	0.9285714285714286
restauratione	restaurationem	0.9285714285714286
constitutionis	constitutioni	0.9285714285714286
recuperatione	recuperationem	0.9285714285714286
confirmationis	confirmationi	0.9285714285714286
satisfactionem	satisfactione	0.9285714285714286
constitutioni	constitutionis	0.9285714285714286
satisfactione	satisfactionem	0.9285714285714286
subscriptionem	subscriptione	0.9285714285714286
constructione	constructionem	0.9285714285714286
subscriptione	subscriptionem	0.9285714285714286
contemplationi	contemplatione	0.9285714285714286
supranominata	supranominato	0.9230769230769231
presumpserit	presumpserint	0.9230769230769231
consuetudine	consuetudines	0.9230769230769231
supranominato	supranominata	0.9230769230769231
beniuolentia	beniuolentiam	0.9230769230769231
consuetudine	consuetudinem	0.9230769230769231
dorobernensis	dorobernensi	0.9230769230769231
benedictione	benedictionem	0.9230769230769231
construxerat	construxerant	0.9230769230769231
incolumitatem	incolumitate	0.9230769230769231
prosperitatem	prosperitate	0.9230769230769231
congregatione	congregationi	0.9230769230769231
congregationi	congregatione	0.9230769230769231
consuetudinum	consuetudinem	0.9230769230769231
recordatione	recordationem	0.9230769230769231
herfordensis	herefordensis	0.9230769230769231
restitutionem	restitutione	0.9230769230769231
glestoniensis	glastoniensis	0.9230769230769231
consuetudinis	consuetudines	0.9230769230769231
consuetudines	consuetudinem	0.9230769230769231
satisfecerint	satisfecerit	0.9230769230769231
confirmationi	confirmatione	0.9230769230769231
institutiones	institutionem	0.9230769230769231
institutiones	institutione	0.9230769230769231
misericordia	misericordiam	0.9230769230769231
metropolitani	metropolitano	0.9230769230769231
metropolitani	metropolitana	0.9230769230769231
metropolitani	metropolitane	0.9230769230769231
incarnatione	incarnationem	0.9230769230769231
presumpserint	presumpserit	0.9230769230769231
restitutione	restitutionem	0.9230769230769231
herefordscire	hertfordscire	0.9230769230769231
metropolitano	metropolitani	0.9230769230769231
