Group	Words
189	bertolomeum bertolomeus bartolomeum
190	staldingburga staldingbura
191	quietaclamancia quietaclamantia
192	sempingham sempringham semplingham
193	transfretauit transfretaui
194	patriarcis patriarchis
195	lincolescire lincolenscire lincolnscire lincolescira lincolnescire
196	afidauerant afidauerunt
197	experientia experientiam
198	ceptrigera sceptrigera
199	aecclesiasticorum ecclesiasticorum
200	successorum succesorum successorem
201	transfretatione transfretationem
202	apellatiuo appellatiuo
203	glecestrie glecestorie glencestrie
204	salopesberiam salopesberia
205	acquietarem acquietare adquietarem
206	saresberiensis sabesberiensis sarisberiensis saresbiriensis salesberiensis saresberiensi saresburiensis seresberiensis
207	presentationi presentatione presentationis
208	huntingfeud huntingefeud
209	gubernantur gubernatur
210	dispensatoris dispensatori
211	examinationem examinatione
212	flemenesfirmt flemenesfirmth
213	compulerint compulerit
214	superadidit superadidi
215	atestatione atestationes atestationem attestatione
216	denecesuurþe deneceswurþe dencesuurþe
217	subscriptorum subscriptarum
218	cundesleage cundeslege
219	heldebrandi heldeberandi
220	interdicta interdictae
221	praebentibus prebentibus praesentibus
222	necligenciam necligencia
223	spiritalium spiritualium
224	cildecompton cildecumpton
225	uicecomiti uicecomitis
226	presentandos presentandus presentandas
227	conscriptum conscriptam
228	extramitantur extramitatur
229	gislebertum gislebertus gislbertum gilebertum
230	aecclesiasticus aecclesiasticis aecclesiasticum
231	commorantur commoratur comorantur
232	quarentenas quarantenas quarentenis
233	privilegiis priuilegiis privilegii
234	consequende consequendo
235	construende construenda construendi
236	recongnitione recognitione recongnitionem
237	choriscvmbam choriscvmba
238	institutioni institutionis institutione
239	consueuerat consueuerant consueuerit
240	wintonensi wintoniensi
241	largitionem largicionem largitione
242	warentandum waretandum
243	aisiamentis aisimentis eisiamentis asiamentis aisamentis
244	contemplatione contemplationi
245	consiliarios consiliarius consiliariis consiliaris
246	eadwoldincg eadwolding
247	anuntiationis anunciationis
248	stangedelf stangedelfe
249	subnotantur subnotatur
250	suprataxatam suprataxata
251	roucestria rouecestria
252	cantuariensius cantuariensium cantuariensis
253	conciderunt concederunt
254	benedictionis benedictiones
255	ledecestria ledecestra
256	construendum construendam
257	æthilstanum æthelstanum
258	eccleshale ecclesheale
259	dydelingdune dydelingtune
260	iustriciariis iusticiariis
261	dependentes defendentes decendentes dependente
262	cridiatona cridiatonam
263	presbitero presbiteros
264	releuationes releuatione
265	apelationum apelationem
266	gewittnysse gewittnesse gewitnysse
267	nominatissimo nominatissima
268	coppanforde coppanforda
269	bristelmestuna britelmestuna
270	conuentionauit conuentionaui
271	asumptionem asumptione
272	relinquendi reliquendi relinquenda
273	conceserant conceserunt conceserint concesserant conceserat
274	commotationem commotatione commutationem
275	residentiam residentia residenciam residentium
276	congregacionis congregationis congregacioni
277	consuetudinibus consuetudininbus
278	leecestrensis legecestrensis lecestrensis
279	dcccclviiii dcccclxviiii dccccxlviiii dcccclviii dcccclxiiii
280	ammonicionibus ammonitionibus
281	wigorniens wigorniensi
282	construxerit construxeris construxerat
283	competentia competenti
284	apostolica apostolicae apostolicas apostolicam
285	sustentationem sustentacionem sustentatione
286	satisfaceret satisfacere
287	reuertantur reuertatur reuertentur
288	affirmationi affirmatione affirmationis
289	confirmationes confirmationem confirmatione confirmationis
290	extenduntur extendantur
291	arcideacono arcidiacono
292	thesaurizare thesaurizate
293	ascribendum scribendum
294	ikelingtona kelingtona
295	estdepinga westdepinga
296	presumerent presumeret
297	obtemperanti obtemperant
298	scropesberia scrobesberia
299	universorum uniuersorum
300	prenotatam praenotatam
301	potestatiuus potestatibus
302	mancipatur mancipantur
303	westmonasterio westmonasterii westimonasterio
304	perheniter perhenniter
305	cirencestrie cirecestrie cirencestria
306	sceldeforda scealdeforda sceldforda
307	prouenientibus provenientibus
308	meresfeldam meresfelda
309	stanfordam stanfordiam
310	suficientem sufficientem suficienter
311	persoluantur persoluatur persoluentur
312	persistencium persistentium
313	colingburn colingburne
314	animadversione animaduersione
315	fideiussores fideiusores
316	eueshamensis eveshamensis eueshamensi
317	deuotissime deuotissima deuotissimi deuotissimo deuotisime devotissime
318	wasingeham walsingeham
319	liberationi liberationis liberatione
320	constitutiones constitutionis constitutionem constitutione
321	erchebissop archebissop
322	bermundeseiam bermundeseia beremundeseiam
323	persoluendae persoluendam persoluende persoluenda persoluendas
324	sceptrigerae sceptrigere sceptrigera
325	sequestramus sequestratus
326	inpresione inpressione
327	herefordesir herefordesira
328	danecastrum lanecastrum
329	dorcestrensis durcestrensis
330	equitatione equitationem
331	tabernaculis tabernaculi
332	stadfordscira stafordscira
333	æðelingtune æþelingtune
334	deliberauit deliberaui
335	transgresionibus transgressionibus
336	knotingleie knotinglei
337	mutabilitati mutabilitate
338	nominanatur nominantur
339	cisterciensi cisterciensis cistercensi
340	quietanciam quietantiam quietancia quietancias
341	presumpsit praesumpsit
342	exortacione exortatione
343	contrauersiam controuersiam contrauersia
344	confidentes confidenter
345	arciepiscopum archiepiscopum arciepiscopus
346	testificandum testificandam
347	adquisitiones adquisiciones adquisitionis adquisitione adquisitionem
348	probauerit probauerint
349	esterlingorum sterlingorum esterlinghorum esterlinggorum
350	excommunicatus excommunicamus excomunicatus excommunicatum
351	guarenboluila guarenboluil
352	conversantibus conuersantibus conersantibus
353	cognouerint cognouerit cognouerunt cognoverint
354	conquirendi conquirendis
355	tademertun tademertune
356	aldhelmique aldelmique
357	procurator procuratori procuratore
358	dunelmensem dunelmense dunelmenses
359	wolcnesteda wolcnestede
360	credentibus redentibus
361	consuetudinem consuetudines consuetudine consuetudinum
362	apostolorum apostlorum aposolorum
363	confirmabit confirmavit confirmauit
364	patrocinatur patrocinetur patrocinatus
365	examinatis examinantis
366	inotescere innotescere inotesceret
367	snitenesfelt snitenefelt
368	constitutum constitutam constitutus
369	arcidiacano arcidiacono
370	brokesborne brokesburne
371	seresburiensi saresburiensi seresberiensi
372	frendliche freondliche
373	norþeweard norþewearde
374	subiectione subjectione subieccione subiectionem subiectioni
375	ignorantiam ignoranciam ignorantiae ignorantia
376	sepeliendis sepeliendos sepeliendi
377	proprinquus propinquus
378	descendentes decendentes
379	silamestede silamstede
380	posesionem possesionem
381	mercatoriis mercatoris
382	wandregisili wandregisilis
383	andegauorum andecauorum
384	paþeneberga pateneberga
385	incorruptibili incorruptibile
386	scilingford scilingeford shilingford
387	necesariam necessariam
388	archiæpiscopo archiepiscopo
389	proposuerant proposuerint proposuerunt proposuerat
390	damnatione dampnatione damnationem
391	amantissimo amantissimæ amantisimo
392	forstealle forstealles forestealle
393	suscipiantur suscipiatur
394	malignantis malignanti
395	suþeweardne suþewerdne suþewearde suðeweardne
396	sunderfreols sunderfreolse
397	dorobernens dorobernensi dorobernen
398	bennanhamme bennahamme
399	infangeneþeofe infangeneþeofes infangeneþeof
400	paulesbyrig paulusbyrig
401	adiudicatum adiudicatam
402	teoduualdus teoduuoldus
403	norhamptonau norhamptonam
404	construccionem constructionem construccione
405	hagennedewe hagenedewe
406	ortodoxorum orthodoxorum
407	condempnatus condemnatus condempnatum condempnamus
408	dccccxxiii dcccclxxiii dccccxxxiii dccccxxiiii
409	asignauimus asignabimus signauimus
410	protestatus protestatum protestatur potestatus
411	herfordiam herefordiam
412	archipresulis arcipresulis archipresuli
413	consencientibus consentientibus consensientibus conscencientibus consenscientibus
414	sceftesberia sheftesberia
415	exibuistis exhibuistis
416	misericordiae misericordie misericordiam misericordia misericordian
417	exhibitionem exhibitione
418	gemeticensis gemeticensi
419	modingahammesgemæro modingahammesgemæra
420	archipirate archipirata
421	procuratorem procuratorum procuratores procuratore
422	acquietabit adquietabit acquietauit aquietabit
423	acquietationem adquietationem acquietatione aquietationem
424	aduersarios adversarios aduersariis aduersarius
425	repetitione repetitioni
426	confirmaret confirmare confirmarem confirmaset
427	dunninglande dunninclande dunninglandæ
428	walengefort walengefor walengeford
429	rieualensem rieualenses
430	terminentur terminetur
431	usurpauerint usurpauerit
432	territorii territoriis
433	præcipientibus precipientibus
434	angelcynnes angelcynne
435	chirographum cirographum
436	egritudine aegritudine egritudinem
437	rouecestram rouecestriam rouecestra
438	afiduciauit afiduciaui
439	hwelpestanes welpestanes
440	suggincgwyrðe suggingwyrðe suggincgwyrþe
441	meneuuensis meneuensis meneuiensis
442	perfruituro perfruitur
443	difficultate dificultate
444	præscriptum prescriptum
445	begmenister begminister
446	comunitati comunitatis
447	forestagium forestarium
448	ratihabitionem ratihabitione
449	saresbiria saresbirias
450	hundteontigan hundteontiga
451	preferenda praeferenda
452	constructam constructum constructa
453	munificentiae munificentie munificentiam munificentia
454	basingburne basingeburne
455	iamdictorum iamdictarum
456	susceperint susceperit susceperant susceperunt
457	wodemanecote woedemanecote
458	territoria territoriam
459	monawurðige monawurþige monawyrðige
460	deliberationem deliberatione deliberationes
461	promisionis promissionis prouisionis
462	interpositam interposita interponitam interpositas
463	constantiensi constanciensi constantinensi constantiens constantiensis
464	aggravatione aggrauatione
465	pertinebunt pertinebant
466	wyrmingtune wermingtune
467	confesione confesiones confesionem
468	fortelmeton fortelmetun
469	wincecumbensis wincelcumbensis
470	fermentacionis fermentationis
471	penitencia penitenciam
472	ministrauit ministrabit
473	antecesorum antecessorum anticesorum
474	reaedificationem reaedificatione reedificationem
475	procesionem procesiones profesionem procesione
476	confirmauerant confirmauerat confirmauerunt
477	lundoniensis lundonensis lundoniensi londoniensis
478	serenitate serenitatem
479	wigorniensis wigornienses wigornensis wigorniensi
480	aquilonarem aquilonalem
481	archimandritæ archimandrita
482	glæstingensi glastingensi
483	britannice brittannice britannicae
484	multiplicato multiplicat multiplicata
485	contentionis conuentionis contentiones
486	senescalcia senescancia senescaucia
487	fontanelensem fontanelense
488	ascentionis ascensionis
489	proposuerit proposuerint proposuerat
490	deuenscira deuenescira
491	iniquitati iniquitatis
492	beatitudinis beatitudines
493	regredientur egredientur
494	deniceswurþe deneceswurþe denceswurþe
495	biscopstole bisceopstole biscopstol
496	windelshora windeleshora
497	episcopatui episcopatum episcopatus episcopatu
498	inconcusamque inconcusaque inconcusumque
499	resignauimus designauimus
500	prohibetur prohibeatur
501	hardingstor hardinstor
502	windlesora windleshora windlesoran windlesoram windlesoras
503	indulserant indulserunt
504	norewicensi norwicensi norewicensis
505	arcitenens architenens
