	0
redemptori	redemptoris
expedicionis	expeditionis
competebant	competebat
rectitudines	rectitudinem
rectitudine	rectitudinem
flandrensis	flandrensi
quadragesimam	quadragesima
prohibente	prohibentes
concanonicus	concanonicum
pertinebunt	pertinebant
procurabimus	procurauimus
calumpniari	calumpniare
calumniare	calumpniare
claromontensi	claromontensis
fraternitatis	fraternitati
consecratione	consecrationem
exaltatione	exaltationem
benignitatem	benignitate
benignitati	benignitatis
disciplinam	disciplina
lexouiensis	lexouiensi
remanserint	remanserunt
concederent	concederet
receptionem	receptione
corectione	corectionem
colectionem	colectione
corectiones	corectionis
incontinentia	incontinenti
compositorem	compositores
laudunensi	laudunensis
aurelianense	aurelianensi
aurelianensem	aurelianensi
presencialiter	presentialiter
iniquitates	iniquitatem
celebraturi	celebratur
celebrantur	celebratur
perfruendam	perfruendum
comparentem	comparentes
comparente	comparentes
incumbencia	incumbentia
quarentenas	quarentena
transferendi	transferendo
ecclesiastice	eclesiastice
ecclesiastici	eclesiastice
ecclesiastica	eclesiastice
prosperitatem	prosperitate
uerumptamen	uerumtamen
testimoniis	testimonii
posteritati	posteritatis
agricultura	agriculturam
uicecomitum	uicecomitem
corroborare	coroborare
gloucestriam	gloucestria
glocestriam	gloucestria
coepiscopis	cepiscopis
decimationum	decimationem
conuersione	conuersionem
conseruanda	conseruandam
conseruandum	conseruandam
conuertatur	conuertantur
conuertentur	conuertatur
inspectionem	inspectione
tornodorensi	tornodorensis
principatus	principatum
primicherius	primicerius
ordinauerint	ordinauerit
paupertatis	paupertati
distribuantur	distribuatur
distribuetur	distribuantur
testificamus	testificatus
testificatur	testificantur
cirografatum	cirograpatum
couentrens	couentrensi
winterburne	winterburn
renuntiamus	renunciamus
denunciamus	renuntiamus
figiacensi	figiacensis
decreuerint	decreuerunt
quarumlibet	quorumlibet
instructionem	instructione
wigornensi	wigornensis
beneplacito	beneplacita
consanguineis	consanguineus
consanguineum	consanguineus
susceperint	susceperit
constantino	constantini
constantii	constantini
obseruanciam	obseruantiam
obseruantia	obseruantiam
obseruantias	obseruanciam
laudationem	laudatione
licfeldensis	licefeldensis
licefeldensi	licefeldensis
licetfeldensis	licefeldensis
lichefeldensis	licefeldensis
licesfeldensis	licefeldensi
aprobationis	probationis
garantizabit	warantizabit
garentizabit	warantizabit
eboracense	eboracensem
resipiscant	resipiscat
conferendam	conferenda
conferendas	conferenda
incessanter	incesanter
walingeford	walingford
walingforde	walingford
eclesiasticarum	eclesiasticorum
ecclesiasticorum	eclesiasticarum
recognoscant	recognoscunt
pertinendis	pertinentis
securitatis	securitati
quietaclamantia	quietaclamancia
renuntiationem	renunciationem
denunciationem	renunciationem
renunciatione	renuntiationem
negligenter	negligentes
arbitratorem	arbitratores
medeshamsted	medeshamstede
piscatione	piscationem
piscationes	piscationis
adstipulatione	astipulatione
latrocinium	patrocinium
celebrandas	celebranda
transuersu	transuersum
clamationi	clamationis
etheluueard	atheluueard
atheluuerd	atheluueard
exhibitione	exhibitionem
ministerii	ministeriis
impunitatem	imunitatem
certitudine	certitudinem
sustinendam	sustinendum
excomunicamus	excomunicatus
infirmariam	infirmaria
pertinerent	pertineret
apropriationem	apropriatione
distribuentur	distribuantur
perstiterint	perstiterit
conscripsit	conscripsi
coedificacione	coedificatione
consanguinei	consanguineo
distributionem	distributione
distributiones	distributione
succedentium	sucedentium
anguillarum	anguilarum
uenationibus	uexationibus
persoluetur	persoluatur
uendicabunt	uendicabant
uendicabat	uendicabant
instituatur	instituetur
instituentur	instituatur
executionis	executioni
cognoscentes	cognoscente
necesitati	necesitatis
necessitatis	necesitatis
posidebimus	posidebamus
posideamus	posidebamus
pontisariensis	pontisarensis
beatitudine	beatitudinem
condicionem	condicione
retributione	retributionem
restituantur	restituatur
restituetur	restituantur
uniuscujusque	uniuscuiusque
ministrantem	ministrantes
ministrantis	ministrantes
inhabitandam	inhabitandum
sanctissime	sanctisime
hospitalariis	hospitalarii
adquietatione	acquietatione
aquietatione	acquietatione
acquitatione	acquietatione
percipiendarum	percipiendorum
quantumcunque	quantumcumque
compelatur	compelantur
compelentur	compeletur
laudationi	laudationis
admodiatione	admodiationem
commendamus	comendamus
poenitentie	penitentie
distribuendos	distribuendas
distribuendam	distribuendum
distribuendis	distribuendas
promotione	promotionem
lincolniense	lincolniensem
radingensi	radingensis
radingenses	radingensis
inueniendam	inueniendum
perceperit	perceperint
celebrantes	celebrantem
celebrante	celebrantem
constructio	constructo
indulgenciis	indulgentiis
adquisiuimus	acquisiuimus
scirburnensis	scireburnensis
subsequenter	subsequentes
subsequente	subsequenti
subsequentem	subsequentes
subsequentis	subsequenti
conscriptam	conscripta
inposuerunt	imposuerunt
superstites	superstite
superstitem	superstite
iherosolimam	ierosolimam
hierosolimam	ierosolimam
saresbiriensis	saresberiensis
saresburiensis	saresberiensis
salesbiriensis	saresberiensis
conuenientes	conuenienter
conuenientem	conuenienter
quietanciam	quietantiam
quietantias	quietantiam
confirmate	confirmante
institutioni	institutionis
negligentia	negligentiam
negligenciam	negligentia
candelabrum	candelarum
difinitione	difinitionem
apropriata	apropriatam
persoluetis	persolutis
persoluatis	persolutis
matisconense	matisconensem
postulatione	postulationem
substantiam	substantia
lundoniensi	lundoniensis
instituatis	institutis
transitorie	transitoria
infregerint	infregerit
amonitione	admonitione
admonitionem	admonitione
diffinitionem	difinitionem
beniuolentia	beniuolentiam
benivolentiam	beniuolentiam
beneuolentiam	beniuolentiam
beniuolenciam	beniuolentia
prerogatiuam	prerogatiua
prerogativa	prerogatiua
persoluerunt	persoluerint
persoluerit	persoluerint
persoluerent	persoluerint
determinatur	determinatum
determinatam	determinata
uicecomitatus	uicecomitatum
uicecomitatu	uicecomitatum
procesione	procesionem
procesiones	procesionem
construenda	construendam
construendi	construendam
construendas	construendi
construendo	construendam
inpresionibus	impresionibus
restituemus	restituimus
restituamus	restituimus
detentionem	detentione
transcripta	transcripto
satisfacient	satisfaciant
satisfaciens	satisfaciant
acquirendis	adquirendis
ministraturum	ministraturus
ministraturos	ministraturus
prouisionis	prouisioni
suplicatione	suplicationi
puplicationem	publicationem
autisiodorense	autisiodorensem
siluanecti	siluanectis
reclamarent	reclamaret
presumerent	presumeret
huuicciorum	huicciorum
gubernaculo	gubernacula
libentisime	libentissime
recipienda	recipiendas
ethilbaldus	ethelbaldus
plenitudinem	plenitudine
beorhtnothe	beorhtnoth
remuneratione	remunerationem
precedentis	precedenti
excoluerit	excoluerint
excoluerunt	excoluerint
deuotissime	deuotisime
coroborauit	coroboraui
indulgentie	indulgentia
indulgencie	indulgentia
indulgente	indulgentes
destructione	destructionem
karliolensi	karleolensi
karleolensis	karleolensi
cohertione	cohertionem
cirografati	cirografato
cirografate	cirografato
receptionis	deceptionis
deceptioni	deceptionis
catalaunensi	catalaunensis
quotienscunque	quotienscumque
quotiescunque	quotienscumque
antecessores	antecesores
consignatas	consignata
consignatam	consignatum
servantibus	seruantibus
supplementum	suplementum
ilustrisimo	ilustrisimi
dispensatio	dispensario
dispensari	dispensario
imperatorem	imperatore
conuenienti	conuenientia
conuenientiam	conuenientia
perciperet	perciperent
contradicentes	contradicente
solemnitatibus	solempnitatibus
reformatione	reformationem
stalingburgh	stalingburg
adquisierint	acquisierint
adquisierant	acquisierint
adquisierit	acquisierint
percipimus	percipiemus
percipiamus	percipiemus
obseruaret	obseruarent
pronuntiauimus	pronunciauimus
inquisitioni	inquisitione
inquisitionis	inquisitione
cicestrens	cicestrensi
iuridictione	iurisdictione
leodegarium	leodegarius
castelariam	castelaria
presumptionem	presumptione
contemplationi	contemplationis
cognominatus	cognominatur
prosequente	prosequentes
reliquimus	relinquimus
presentauerint	presentauerunt
ierosolimitan	ierosolimitani
ierosolomitani	ierosolimitani
conseruatione	conseruationem
alienationes	alienationis
alienatione	alienationem
celebrandis	celebrandi
compromisionem	compromisione
ireuocabilis	ireuocabili
custodierint	custodierit
archiepiscopum	archiepiscopus
terminantur	terminatur
consiliarios	consiliariis
consiliarii	consiliariis
consecratam	consecrata
consequantur	consequatur
impediatur	impediantur
obediencia	obedienciam
herefordiam	herefordia
dilectisimis	dilectisimi
dilectisimo	dilectissimo
dilectisime	dilectisimi
bridlington	bridelington
presentandus	presentandum
celebraturus	celebraturos
clerkenwel	clerkenwele
confirmauerat	confirmauerit
amonitionem	monitionem
disensiones	disensionis
concanonici	concanonicus
concanonicos	concanonicus
diuionensem	diuionenses
humilitatem	humilitate
mansiunculas	mansiunculis
uenerationem	ueneratione
generatione	uenerationem
forisfecerint	forisfecerit
forifecerit	forisfecerit
terminentur	terminetur
quietantiis	quietanciis
quietancias	quietanciis
consulente	consulentes
familiarius	familiarium
compareret	comparerent
iuridictio	iurisdictio
examinatione	examinationem
prouiderunt	prouiderent
responsuros	responsurus
bermundeseiam	beremundeseiam
atrebatensi	atrebatensis
extendentes	extendentem
recipiantur	recipiatur
prosequenda	prosequendo
prosequendi	prosequendo
pontigniaco	montigniaco
coronatorem	coronatore
coronatores	coronatore
predecessores	predecesores
sanctitate	sanctitatem
confirmabit	confirmauit
fragilitate	fragilitatem
adipiscendam	adipiscenda
metropolitana	metropolitane
metropolitani	metropolitane
metropolitano	metropolitane
reconciliationes	reconciliationis
hereditariam	hereditarium
hereditagium	heremitagium
restituenda	restituendo
constantiam	constantia
partitionem	partitione
adiacentis	adiacentiis
restituendam	restituendum
coroboratam	coroborata
corroboratum	coroboratum
custodiendo	custodienda
custodiendas	custodiendis
custodiendi	custodiendis
protulerint	protulerit
sepeliatur	sepeliantur
sepelientur	sepeliantur
habundantia	habundanti
deseruienti	deseruient
deseruirent	deseruiret
condempnati	condempnari
prebendali	prebendalis
beneficiatis	beneficiati
comendationem	comendatione
magnificentie	magnificencie
transferent	transferet
corbigniacensi	corbigniacensis
corbiniacensis	corbigniacensis
clugniacensi	cluniacensi
ignorantiam	ignorantia
postulante	postulantes
neglexerit	neglexerint
permansuram	permansurum
constituent	constituant
determinat	determinant
determinato	determinata
dapsilitate	dapsilitatem
inotesceret	inotescere
carleolensi	karleolensi
excusatione	excusationem
scardeburg	scardeburgh
scardeburgo	scardeburgh
liberabimus	liberauimus
incolumnitatem	incolumitatem
quotiescumque	quotienscumque
matriculariis	matricularius
trenorciense	trenorciensem
felicitate	felicitatem
custodiantur	custodiatur
custoditur	custodiatur
custodietur	custodiatur
diuturnitatem	diuturnitate
altitudinem	altitudine
aduersarius	aduersarios
aduersario	aduersarios
aduersariis	aduersarios
cognoscendum	cognoscendam
consistorii	consistorio
sufraganeos	sufraganeis
sufraganei	sufraganeis
suffraganeis	sufraganeis
coroborandum	coroborandam
prohibitionem	prohibitione
subicientes	suficientes
subiicientes	suficientes
mclxxxxiiii	mclxxxiiii
contulisent	contuliset
sustentetur	sustententur
concanonicis	concanonicus
permitente	permitentes
nominatione	dominatione
cominatione	dominatione
continentie	continenti
continentis	continenti
prescriptionem	prescriptione
subtractione	subtractionem
subscripto	subscriptos
helemosina	helemosinam
porciunculam	portiunculam
partiunculam	portiunculam
confirmetur	confirmentur
confirmantur	confirmentur
cristianorum	christianorum
inperpetuam	inperpetuum
consecratum	consecratus
demonstrat	demonstrant
profunditatem	profunditate
dcccclxviii	dcccclxiii
dccccxlviii	dccccxlvii
atestantibus	testantibus
promisionis	prouisionis
promisiones	prouisionem
eboracisira	eboraciscira
dirationauit	disrationauit
habitatione	habitationem
interfuerit	interfuerint
inrefragabiliter	irefragabiliter
recipientur	recipiantur
bermundeseia	bermundeseie
dominicarum	dominicorum
custodirent	custodiret
inhibitione	inhibitionem
anuntiatione	anuntiationem
proponebat	proponebant
excomunicare	excomunicari
subscriptum	subscriptam
brinkburne	brinkeburne
lancastria	lancastriam
pronunciatione	pronunciationem
predicatione	predicationem
quitationi	quitationis
prolationem	prolatione
iuridictionis	iurisdictionis
impignoratione	impignorationem
caritatensi	karitatensi
karitatensis	karitatensi
flauigniaci	flauigniaco
dampnationem	dampnatione
cedentibus	credentibus
ethelheardi	ethelheard
glastoniensi	glastoniensis
constituant	constituat
dcccclxiiii	dcccclxiii
aliquociens	aliquotiens
uniuersali	uniuersalis
requirebant	requirebat
forisfacti	forisfactis
forifactis	forisfactis
substituetur	substituatur
substituantur	substituatur
consuetudinario	consuetudinarii
consuetudinariis	consuetudinario
consuetudinaria	consuetudinarii
debilitate	debilitatem
defendentibus	dependentibus
comendentur	comendetur
comendatur	comendantur
corroborata	coroborata
operatione	operationes
operationem	operationes
nequiuerit	nequiuerint
sustentandum	sustentandam
promisionem	prouisionem
promisione	prouisionem
subuentione	subuentionem
subuentiones	subuentionem
quadrigatam	quadrigatas
releuatione	releuationem
releuationes	releuationem
declarandam	declarandum
prouidebimus	prouiderimus
prouideremus	prouiderimus
declarandis	declarandi
prebendariis	prebendarii
petrapertusia	petrapertusa
omnipotente	omnipotenti
omnipotentem	omnipotenti
possessionis	possessiones
supranominati	supranominata
interioribus	inferioribus
tempestates	tempestate
deliquerunt	reliquerunt
reliquerint	reliquerunt
iocunditate	iocunditatem
sacrosanctam	sacrosanctum
quamplurimi	quamplurima
perficiendam	perficiendas
lundoniensem	londoniensem
confirmant	confirmante
adquisierat	acquisierat
acquisierit	acquisierat
indempnitatem	indempnitate
landauensi	landauensis
warantizandam	warantizandum
garantizabo	warantizabo
ministranti	ministrandi
ministrando	ministrandi
presentatam	presentata
presentaset	presentase
proponentes	proponente
prosequamur	prosequimur
preceptorem	precentorem
preceptore	precentorem
preceptorum	precentorem
mesagiorum	mesuagiorum
conferendis	conferendi
prouiderint	prouiderent
reformandam	reformandum
confitebantur	confitebatur
complendum	compelendum
permiterent	permiteret
purpresturas	purprestura
distringat	distringant
procurauerint	procurauerit
fideiusorum	fideiusorem
molestarent	molestaret
manumortuam	manumortua
manusmortua	manusmortue
seruauerit	seruauerint
recordatione	recordationem
peruenerunt	peruenerint
deliquerint	deliquerit
memoratarum	memoratorum
deficientes	deficiente
deficientem	deficiente
indulgencia	indulgentia
indulgencias	indulgentia
gloriosisimi	gloriosisime
gloriosisimo	gloriosisime
glocestria	gloucestria
dunstanuil	dunstanuila
dunestanuila	dunstanuila
posibilitate	posibilitatem
pendentibus	apendentibus
diligenciam	diligencia
transmiserunt	transmiserint
conuertendis	conuertendas
conuertendos	conuertenda
conuertendi	conuertenda
contentarum	contentorum
aduenientes	adueniente
wincelcumbe	wincecumbe
obedienciarii	obedientiarii
inuenisemus	inueniemus
inundatione	inundationem
inundationes	inundationem
ataciamento	ataciamenta
subrogentur	subrogetur
metropolitice	metropolitica
calumniari	calumpniari
extimatione	estimatione
rectitudinis	rectitudines
suggestionem	suggestione
postulabant	postulabat
obtinuerunt	optinuerunt
expedicionem	expedicione
westeweardne	westewearde
westeweardre	westewearde
defendentem	defendentes
conferentes	conferente
sustineret	sustinerent
qualescumque	qualemcumque
qualemcunque	qualescumque
consecraui	consecrauit
distributionis	distributiones
tradiderit	tradiderint
luxouiensis	lexouiensis
luxouiensi	lexouiensis
celebrantis	celebranti
colecestriam	colecestria
abendonensis	abendonensi
cognouerint	cognouerit
manuteneat	manuteneant
adquietabit	acquietabit
acquietauit	adquietabit
aquietabit	acquietabit
edificauerit	edificauerint
edificandas	edificandam
edificanda	edificandam
custodiendos	custodiendis
renuntiatum	renunciatum
satisfecerunt	satisfecerint
dublinensi	dublinensis
inueniendis	inueniendi
gubernatione	gubernationem
prouideret	prouiderent
prouenientia	prouenientis
proueniencia	prouenientis
asportauerint	asportauerunt
conuertendo	conuertenda
substitutus	substitutum
preficiendi	preficiendo
continentiam	continentia
preceptori	preceptoris
inpedientes	impedientes
impetrationi	impetratione
impetrationem	impetratione
custumariis	custumarii
aprobationem	probationem
middeweardne	middewearde
middeweardre	middewearde
sufragante	suffragante
destinandum	festinandum
munificencia	munificentia
impositione	impositionem
iniquitate	iniquitatem
construxerant	construxerat
construxerint	construxerunt
westminstre	westmynstre
westmunstre	westmynstre
acquiescere	adquiescere
maledictioni	maledictionis
indiguerint	indiguerit
construxerit	construxerat
autoritatem	autoritate
infangentef	infangenetef
infangetef	infangenteof
contempserit	contempserint
posteritate	posteritati
posteritatem	posteritati
pertinuerint	pertinuerit
testificari	testificati
testificata	testificati
elemosinariam	elemosinaria
modiationem	modiatione
impresentiarum	inpresentiarum
concedantur	concedatur
esiamentis	eisiamentis
transferat	transferant
compensatione	compensationem
circumuenta	circumuenti
confirmabunt	confirmarunt
clerekenwel	clerekenewel
clerkenewel	clerekenewel
perdiderunt	perdiderint
quamplurium	quamplurimum
aquietandum	acquietandum
prouenient	proueniente
deteriorentur	deterioretur
contradicit	contradicat
contradidit	contradidi
parmentarii	parmentario
requisitis	irequisitis
acquietantia	acquietancia
acquietancie	acquietancia
acquietanciam	acquietancia
declaratione	declarationem
faciendarum	faciendorum
servitutibus	seruitutibus
obseruanti	obseruantia
obseruantie	obseruantia
brugewalteri	brugeswalteri
procuratorium	procuratorum
presbiteratu	presbiteratus
presbiteratum	presbiteratus
infrascripta	infrascriptas
infrascriptam	infrascriptum
ingelbertus	engelbertus
molismenses	molismensem
pruuinensium	pruuiniensium
deilocensis	deilocenses
adquisitione	acquisitione
acquisitionem	adquisitione
consencientes	consentientes
cynethrythe	cynethryth
herefordense	herefordensem
supranominato	supranominata
supranominate	supranominata
supranominatam	supranominata
deuotissimo	devotissimo
hereditarias	hereditariis
computentur	computetur
uicinitatem	uicinitate
waxtunesham	waxtonesham
nortumberlanda	nortumberland
lincoliensi	lincolniensi
fiscanensi	fiscanensis
celebratis	celebrantis
prouenerint	prouenerit
clarembaudus	clarembaldus
comoditate	comoditatem
comoditates	comoditatem
procedente	procedentes
decolationem	desolationem
soluerentur	solueretur
atemptauerint	atemptauerit
recusauerint	recusauerit
transeuntis	transeuntes
circumstanciis	circumstantiis
indemnitate	indempnitate
corectioni	corectionis
alwoldeston	alwaldeston
transgresionis	transgresiones
asentionis	ascentionis
dokelingtone	dokelintone
gauceranus	gausceranus
pruuinenses	pruuinienses
pruuiniensis	pruuinienses
compeleret	compelerent
uendidiset	uendidisent
montiniaco	montigniaco
arcebisceope	arcebisceopes
arcebiscopes	arcebisceopes
constituendo	constituendi
constituendis	constituendi
sublimitati	sublimitate
participum	participium
probauerint	probauerit
quadringentis	quadringentas
braclesham	bracklesham
redibitione	redibitiones
manifestius	manifestis
substitutos	substituto
recipientem	recipientes
recipiente	recipientes
dunolmensi	dunolmensis
pulsationem	pulsatione
primogenitam	primogenitum
recipiebant	recipiebat
comoditatis	comoditati
recuperauerint	recuperauerunt
inteligatur	inteligantur
forestarum	forestarium
wolgaricot	wolgaricote
wlgaricote	wolgaricote
presentate	presentante
presentant	presentante
sanctisimus	sanctisimum
compleantur	compleatur
instituantur	instituatur
indigentiam	indigentium
amercientur	amercietur
deliberaui	deliberauit
constantinum	constantinus
munitionibus	monitionibus
subdelegatus	subdelegatis
subdelegati	subdelegato
colcestria	colecestria
distributionum	distributionem
regniacensi	regniacensis
regniacenses	regniacensis
parliamento	parlamento
mansionariis	mansionarii
garentizabunt	garantizabunt
abrenuntiantes	abrenunciantes
presidentis	presidentes
residentis	presidentes
presidenti	presidentes
christiani	christianis
ethelbearht	ethelberht
vicissitudine	vicissitudinem
silvarumque	siluarumque
expendantur	expendatur
relinquendam	relinquendum
requirerent	requireret
anathematizatus	anatematizatus
tribulationes	tribulatione
easteweardne	eastewearde
fragilitati	fragilitatis
appellatiuo	appellativo
doruernensis	dorouernensis
preueniente	proueniente
reedificatione	reedificationem
procurandam	procuranda
constanciensis	constantiensis
constantiensi	constanciensis
windesores	windresores
proclamatione	proclamationem
intendebat	intendebant
submonitione	submonitionem
iusticiarium	iusticiarius
iusticiarum	iusticiarius
herfordensi	herefordensi
inuestiture	inuestitura
perturbetur	perturbentur
conquerebantur	conquerebatur
redierimus	rediderimus
cornubiense	cornubiensi
cornubiensis	cornubiensi
transgresionum	transgresionem
hospitalarios	hospitalariis
hospitalarius	hospitalariis
conferatur	conferantur
imparcabuntur	inparcabuntur
conuenisent	conuenienti
distringatur	distringantur
delinquentes	relinquentes
spoliatione	spoliationem
insuficientia	insuficientie
distulerit	distulerint
perseuerauerunt	perseuerauerint
ratificabit	ratificauit
inuenientur	inuenietur
quietuclamaui	quietumclamaui
incorigibilem	incorigibiles
excomunicationum	excomunicationem
claromontis	clarimontis
festiuitatum	festiuitatem
uizeliacensi	uizeliacensis
fortalicias	fortalicia
pruliacensis	pruliacensi
clarambaudus	clarembaudus
circonuenta	circonuenti
liberationibus	librationibus
liberalius	liberalibus
iminentibus	imminentibus
necessitatem	necesitatem
beniuolentie	beniuolentia
gloriosissimi	gloriosisimi
gloriosissimo	gloriosisimi
contestationem	contestatione
venationibus	uenationibus
constituatur	constituantur
constituetur	constituitur
metropolitanum	metropolitana
commutatione	comutatione
apostolicarum	apostolicorum
ethelwulfus	etheluulfus
satisfaccionem	satisfactionem
comprobatum	comprobatur
comprobatus	comprobatur
comprobantur	comprobatur
promerendam	proferendam
constituet	constituent
winterborne	winterburne
winterborn	winterburne
respiciendo	despiciendo
deseruierit	deseruerit
forisfacture	forisfactura
limitationem	imitationem
huntedonie	huntendonie
consolatione	consolationem
restituerit	restitueret
conestabulus	constabulus
quietationes	quietationem
salopesberiam	salopesberia
protestantur	protestatur
conestabularii	constabularii
guarantizare	garantizare
subtrahantur	subtrahatur
denuntiamus	renuntiamus
rauenswarte	rauenswart
dorkecestrie	dorkecestria
adquietauit	adquietabit
fauorabilem	fauorabiles
ocupatione	ocupationem
suscitentur	suscitetur
purpresturam	purprestura
rieualensis	rieualensi
transgresu	transgresus
intromitent	intromitant
intromitet	intromitant
denuncietis	denuntietis
interposui	interposuit
conseruando	conseruanda
conseruande	conseruanda
obseruauerint	obseruauerit
conuentrensi	couentrensi
familiarum	familiarium
subtraxerit	subtraxerint
burdegalensi	burdegalensis
lateranensi	lateranensis
warantizauerint	warantizauerit
coadiutorem	coadiutores
coadiutoris	coadiutores
penitenciario	penitentiario
restituentur	restituantur
adquietationis	acquietationis
conuentuales	conuentualis
concedentis	concedentes
licefeldens	licefelden
renuntiarunt	renunciarunt
cauncefelde	cancefelde
forestariam	forestarium
forestaria	forestarium
computatione	comutatione
exhibitorem	exhibitores
dominicatum	dominicatu
flauiniaci	flauigniaci
calumpniabant	calumpniabat
calumpniabar	calumniabar
uirsionenses	uirsionensis
petragoricensi	petragoricensis
giniacensis	gigniacensis
garantiret	garantirent
claustralem	claustrales
occidentalem	ocidentalem
sequestratum	sequestratus
sequestramus	sequestratus
ecclesiasticarum	eclesiasticarum
inuisibilia	invisibilia
ecclesiasticum	eclesiasticum
constituentur	constituantur
conscriptum	conscriptam
metropolitanam	metropolitana
emendacione	emendatione
celeberrima	celeberrimo
positionem	apositionem
concedendi	concedendis
comparationem	comparatione
reseruetur	reseruentur
comprehensam	comprehensa
responsionem	responsione
confirmetis	confirmatis
antecesore	antecesores
hermitagium	heremitagium
hermentrudis	ermentrudis
transferatur	transferantur
infractionem	infractione
abundantia	habundantia
perficienda	perficiendas
clarembaudi	clarembaldi
impetrabimus	impetrauimus
combustione	combustionem
renuntiatione	renuntiationem
renuntiationi	renuntiationem
consentaneus	consentaneum
kokerington	cokerington
requisierit	requisierint
crucesignatus	crucesignatis
uicecomitisa	uicecomitis
columbarium	columbarum
malmesburiensi	malmesburiensis
deliberandam	deliberandum
deteriorationem	deterioratione
implacitari	inplacitari
inplacitati	inplacitari
cliuelandie	cliuelande
norhamtonie	norhamptonie
procuretur	procurentur
goldesboruh	goldesborug
tailiabiles	taliabiles
submisiones	submisionis
submisione	submisionem
edificauerunt	edificauerint
respondendo	respondendi
reseruatione	reseruationem
beliocensi	beliocensis
beluacense	beluacensem
arcembaudus	arcambaudus
confluentio	conflentio
flauigniacum	flauiniacum
deuoluetur	deuoluentur
columbenses	columbensis
altisiodoro	autisiodoro
corbigniaci	corbigniaco
corbiniaco	corbigniaco
sergentariam	sergenteriam
damnationem	dampnationem
cogitationes	cogitatione
dubitationem	dubitatione
dccccxliiii	dccccxlviii
dcccxliiii	dccccxlviii
ethelstane	ethelstanes
euangelicam	euangelica
aprehensione	apprehensione
exhibeantur	exhibeatur
sarisberiensis	saresberiensis
sarisburiensis	saresberiensis
ocupauerant	ocupauerat
salesberiensis	saresberiensis
pictauiensi	pictauiensis
auctentici	auctenticis
reputabuntur	deputabuntur
infangeteof	infangenteof
malmesberie	malmesburie
depositiones	depositionis
uicissitudine	uicisitudine
excambiaui	excambiauit
instauramento	instauramenta
reficiendam	reficiendas
cristescerce	cristescurce
interpretatione	interpretationem
atestationis	atestationes
indubitata	indubitatam
percepturum	percepturus
suscipiendam	suscipiendum
conuertetur	conuertatur
conuenient	conuenienti
recipiuntur	recipiantur
conquestione	conquestionem
posidentur	posideantur
pecuniariam	pecuniaria
pecuniarias	pecuniaria
meridionali	meridionalis
pokelington	pokelinton
atemptarent	atemptaret
negligentie	negligentia
constantio	constantino
prouenerunt	prouenerint
presentauerit	presentauerint
relinquitur	relinquatur
agriculture	agricultura
receptioni	receptionis
percipientur	percipietur
inpignorare	impignorare
computandos	computandis
computandas	computandis
exemptionem	exemptione
nominationis	dominationis
diuiderentur	diuideretur
guerpitionem	uuerpitionem
acquirendi	acquirendis
arcipresbiteris	arcipresbiteri
pruuinensibus	pruuiniensibus
expendentur	expendantur
piatouilari	piatiuilari
construitur	construatur
condempnatum	condempnatus
possidenda	possidendam
adquietationem	adquietatione
conpetentem	competentem
eleemosynam	eleemosinam
estimacione	estimatione
emendaverint	emendaverit
prememoratam	prememorata
inmortalitatis	immortalitatis
gubernantur	gubernatur
dorobonensis	dorobornensis
procurarent	procurarunt
procuraret	procurarunt
ethelwoldus	athelwoldus
westmynster	westminster
subiciantur	subiciatur
dcccclxxiiii	dcccclxxxiiii
simplingham	semplingham
quarumcunque	quorumcunque
infangenethef	infangenetef
miskeninge	miskenninge
consequuntur	consequantur
habundanter	abundanter
constituunt	constituant
constanciensi	constanciensis
antiquioris	antiquiores
antiquiorem	antiquiores
qualescunque	qualescumque
conestabulo	constabulo
adquisitionem	adquisitione
adquisitiones	adquisitione
consecratio	consecrati
disensionem	disensiones
contineantur	continentur
sumonitionis	sumonitiones
suficiencia	suficientia
fincingfeld	fincingefeld
aministratione	administratione
apertinenciis	pertinenciis
bridlingtona	bridlintona
procederet	procederent
hierosolimitanum	ierosolimitanum
presumpserunt	presumpserint
licesfeldensi	licefeldensi
implacitare	implacitari
acedentibus	cedentibus
concesionum	concesionem
defendenda	defendendam
construendis	construendi
destitutione	restitutione
impetrabunt	impetrarunt
presentasent	presentaset
insuficientes	insuficientem
proferendum	proferendam
postulationi	postulationis
cirograpatis	cirograpati
negligencia	negligentia
beniuolencia	beniuolentia
equitaturas	equitaturis
contentionum	contentionem
detinuerint	retinuerint
prosequatur	prosequamur
consueuiset	consueuisent
arbitratorum	arbitratorem
ihesucristi	iesucristi
pascentibus	poscentibus
suplicauerint	suplicauerunt
garentizare	garantizare
iuriditioni	iuridictioni
procuraturum	procuratorum
excommunicatus	excomunicatus
forisfacturis	forisfacturas
spiritalis	spiritualis
uicissitudo	vicissitudo
expeditionum	expeditionem
exigebantur	exigebatur
temtaverit	temptaverit
concessionem	concesionem
generationem	uenerationem
supramemoratas	supramemorata
abominando	abhominando
concurrentes	concurentes
superuenerint	superuenerit
dcccclxvii	dcccclxviii
suficientiam	suficientia
constrictus	constrictum
consecrato	consecratio
dunholmensis	dunolmensis
windelsores	windesores
infongenetef	infangenetef
imperatorum	imperatorem
sarisbiriensi	saresbiriensi
wigorniens	wigorniensi
comprehensum	comprehensam
precepistis	recepistis
persorensi	persorensis
presentandos	presentandus
solempnitatis	solempnitates
iustitiarios	iustitiariis
continencie	continentie
inuenienda	inueniendam
presentauimus	presentabimus
