	0
possidendum	posidendum
lugdunensi	lugdunensis
lugdunenses	lugdunensem
prenominati	prenominatis
prenominatus	prenominatis
prenominatas	prenominatis
prenominatos	prenominati
solemniter	solempniter
satisfactionem	satisfactione
satisfaccione	satisfactionem
confirmationi	confirmationis
confirmacionis	confirmationis
testamentis	testamenti
contentionis	conuentionis
conuentioni	conuentionis
concesioni	concesionis
concessionis	concesionis
confesionis	concesionis
ouentiones	obuentiones
compositioni	compositionis
cexecutores	executores
exsecutores	executores
rationibus	orationibus
aniuersarius	aniuersarii
consecrationes	consecrationem
consecrationi	consecrationis
cluniacense	cluniacensem
clugniacensem	cluniacensem
adstantibus	astantibus
difficultate	dificultate
consencientibus	consentientibus
dignoscitur	dinoscitur
sacrosancti	sacrosancte
necesitatem	necesitate
necesitates	necesitatis
necessitate	necesitatem
cabilonensi	cabilonensis
kabilonensis	cabilonensis
nuncupantur	nuncupatur
arcipresbiteri	arcipresbiter
arcipresbitero	arcipresbiter
contumacia	contumaciam
contumacias	contumaciam
contumatiam	contumaciam
lingonensi	lingonensis
suficientem	suficienter
suficientes	suficienter
sufitienter	suficienter
episcopatu	episcopatus
episcopatum	episcopatus
episcopatui	episcopatus
eclesiastica	eclesiasticam
eclesiasticum	eclesiasticam
eclesiasticas	eclesiasticis
ecclesiasticam	eclesiasticum
excelentiam	excelentia
redemptionem	redemptione
redempcione	redemptione
uenditioni	uenditionis
precentorem	precentore
wintoniensi	wintoniensis
wintaniensis	wintoniensis
wyntoniensis	wintoniensis
competentem	competenter
competentes	competenter
competente	competenter
conpetenter	competentem
uertebantur	uertebatur
herefordensi	herefordensis
herfordensis	herefordensi
temptaverit	temptauerit
atemptauerit	temptauerit
temptauerint	atemptauerit
seruientum	seruientium
servientium	serviencium
confirmaret	confirmare
confirmarem	confirmare
prenominato	prenominati
prenominata	prenominati
prenominate	prenominati
quictauerunt	quitauerunt
quitauerant	quitauerat
garantizare	warantizare
warentizare	garantizare
warantizaret	warantizare
gislebertus	gilebertus
obseruandam	obseruanda
obseruandas	obseruandis
prescriptam	prescripta
prescriptas	prescriptis
quandocunque	quandocumque
presbiterium	presbiterum
cuiuscunque	cuiuscumque
cujuscumque	cuiuscumque
interfuerint	interfuerunt
interfuerant	interfuerunt
constabularii	constabulario
constabularios	constabularius
conestabulario	constabularii
dunelmensi	dunelmensis
dunolmensis	dunelmensis
dunelmenses	dunelmensem
reuertentur	reuertetur
iurisdictione	iurisdictionem
iurisdictionis	iurisdictioni
iuridictioni	iurisdictionis
iurisditioni	iuridictioni
cirographum	cyrographum
confirmaverunt	confirmauerunt
confirmauerint	confirmauerit
tradiderint	tradiderunt
requisitione	requisitionem
subscriptas	subscriptis
subscriptam	subscripta
consignauit	consignaui
confirmatam	confirmatum
confirmatas	confirmata
antecessoribus	antecesoribus
diminutionem	diminutione
apelationem	apelatione
apelationes	apelatione
spiritalibus	spiritualibus
rationabile	rationabilem
rationabilis	rationabili
rationabilia	rationabili
penitentiam	penitentia
poenitentia	penitentia
penitentias	penitentiis
tesaurarium	tesaurarius
tesaurariis	tesaurarii
iustitiario	iustitiariis
iusticiari	iusticiario
ewangeliste	euangeliste
euuangeliste	euangeliste
signauimus	asignauimus
asignabimus	asignauimus
privilegium	priuilegium
presentarunt	presentabunt
quitatione	quitationem
quietationem	quitationem
equitationem	quitationem
inquisitione	inquisitionem
inquisitiones	inquisitionem
instrumento	instrumenta
instrumenti	instrumentis
pertinencia	pertinenciis
pertinenti	pertinentia
matisconensi	matisconensis
perseuerase	perseuerare
atestationes	atestatione
inpresionem	inpresione
buticulario	buticularii
siluanectensi	siluanectensis
siluanetensis	siluanectensis
siluanectenses	siluanectensem
coroboraui	corroboraui
corroboravi	corroboraui
priuilegii	priuilegiis
privilegiis	privilegii
proueniente	prouenientes
prouenientem	prouenientes
prouenientis	prouenientes
deforciantes	deforciantem
deforcientem	deforciantem
colecestria	colecestrie
colcestrie	colecestrie
pertinebant	pertinebat
venerabilium	uenerabilium
predecesore	predecesor
preceperunt	receperunt
constitutam	constituta
recompensatione	recompensationem
proprietate	proprietatem
deliberationem	deliberatione
cisterciensi	cisterciensis
cistercienses	cisterciensis
lundoniensis	londoniensis
londoniensi	lundoniensis
londiniensis	londoniensis
adquietabunt	acquietabunt
aquietabunt	acquietabunt
constructionem	constructione
construccione	constructione
continentes	continentem
continente	contingente
contingentem	contingente
prestationem	prestatione
prestationes	prestationis
contingere	contingeret
contigeret	contingeret
dignoscuntur	dinoscuntur
ordinabimus	ordinauimus
universorum	uniuersorum
emendaverit	emendauerit
emendauerint	emendaverit
procuratione	procurationem
procurationes	procurationis
procurationum	procurationem
predecessoribus	predecesoribus
interposito	interposita
interpositam	interposita
interpositas	interpositis
molendinarii	molendinario
appellantur	appellatur
retentionem	retentione
prenominatum	prenominatus
prenominatam	prenominatus
iuridictionem	iurisdictione
iurisdictiones	iurisdictionem
procuratoris	procuratores
procuratorio	procuratores
procuratorii	procuratores
procuratoriis	procuratores
procuratorias	procuratores
purificatione	purificationem
purificationum	purificationem
warantizationem	warantizatione
stabilitatem	stabilitate
stabilitati	stabilitatis
adjacentibus	adiacentibus
fideiusorem	fideiusores
fideiiusores	fideiusores
protectionem	protectione
integritatem	integritate
anathematis	anatematis
eleemosinas	eleemosinam
responderet	respondere
administratione	administrationem
incorigibiles	incorigibilis
persoluendos	persoluendis
persoluendas	persoluenda
persoluendi	persoluenda
completorium	completorum
uendiderint	uendiderit
uendiderant	uendiderat
continentibus	contingentibus
rationabiles	rationabilem
autoritatis	auctoritatis
renuntiantes	renunciantes
westmonasterio	westmonasterii
subiectionem	subiectione
subjectione	subiectione
obseruatione	obseruationem
euuangeliis	euangeliis
confessoris	confesoris
confirmandum	confirmandam
confirmanda	confirmando
confirmandas	confirmandam
wigornensis	wigorniensis
wigorniensi	wigornensis
subscriptos	subscriptis
subscripti	subscriptis
percipiendam	percipiendum
paternitatis	paternitati
paternitate	paternitatem
defensionem	defensione
defensiones	defensionis
supradictarum	supradictorum
eclesiastici	eclesiastica
ecclesiasticis	eclesiasticis
eclesiasticos	eclesiastica
dorobornensis	dorobernensis
dorouernensis	dorobernensis
dorobernensi	dorobernensis
dorovernensis	dorobernensis
confitentes	confidentes
confidenter	confidentes
quantitate	quantitatem
perseuerant	perseuerat
territorium	teritorium
cexecutoribus	executoribus
exequtoribus	executoribus
confirmatur	confirmatum
emendatione	emendationem
emendationes	emendationis
obligationem	obligatione
obligationes	obligationis
obligationi	obligationis
necessariis	necesariis
qualitercunque	qualitercumque
beneficiorum	benefitiorum
persolueret	persoluere
presentabit	presentauit
celsitudinis	celsitudini
celsitudine	celsitudinem
anuntiationis	anunciationis
eclesiastico	eclesiastica
eclesiastice	eclesiastica
ecclesiastico	eclesiastice
crediderunt	rediderunt
salopesberia	salopesberie
quictauimus	quitauimus
dispositione	dispositionem
institutione	institutionem
institutiones	institutionis
rotomagensi	rotomagensis
rotomagenses	rotomagensem
ceterorumque	ceterarumque
solicitudinem	solicitudine
solicitudini	solicitudinis
solicitudines	solicitudinis
sollicitudine	solicitudine
octagesimo	octuagesimo
concurentes	concurente
concurrente	concurentes
instituemus	instituimus
sacrosancta	sacrosancte
sacrosancto	sacrosancte
festiuitatem	festiuitate
obseruentur	obseruetur
presentaret	presentare
arcidiaconali	arcidiaconalia
arcidiaconalis	arcidiaconalia
percipiendi	percipiendis
percipienda	percipiendis
percipiend	percipiendis
largitionem	largitione
excelenciam	excelencia
contulerint	contulerunt
contulerant	contulerat
castelionem	castelione
inpetrandis	impetrandis
couentrensi	couentrensis
conuentrensis	couentrensi
damnabiliter	dampnabiliter
successorem	successores
prescriptum	prescriptam
rescriptum	prescriptam
prescriptus	prescriptis
consolidavi	consolidaui
difinitiua	difinitiuam
apostolicis	apostolici
considerationem	consideratione
principalis	principales
principalia	principali
firmaverunt	firmauerunt
afirmauerunt	firmauerunt
ascentionis	ascensionis
asensionis	ascensionis
traditionem	traditione
diligentibus	diligentius
districtiones	districtionem
districtione	districtioni
contentionibus	conuentionibus
ministrauit	ministrabit
suprascriptam	suprascriptum
suprascripto	suprascripta
suprascripti	suprascriptis
suprascripte	suprascripta
suprascriptas	suprascriptis
contentione	conuentione
contentiones	conuentione
subscriptarum	subscriptorum
molendinarium	molendinarius
recipiendam	recipiendas
multiplicata	multiplicato
multiplicatas	multiplicatam
forestariis	forestarius
marescalcus	marescalus
marescaldus	marescalus
precentori	precentoris
preceptoris	precentoris
aquilonaris	aquilonari
restitutione	restitutionem
excomunicatus	excomunicatum
excomunicatis	excomunicati
excomunicato	excomunicati
restaurationem	restauratione
restauracione	restauratione
asignatione	asignationem
asignationes	asignationis
permutationes	permutationem
cicestrensi	cicestrensis
cicestriensis	cicestrensis
prepositure	prepositura
preposituram	prepositura
beluacensi	beluacensis
beluacenses	beluacensem
prebendarium	prebendarius
substituendi	substituendis
consenciens	consentiens
presidentes	residentes
cirografato	cirograpato
cirograpati	cirografato
cirograpata	cirograpato
cirograpate	cirograpato
christianos	christiano
suesionensi	suesionensis
remissionem	remissione
reuertantur	reuertatur
arciepiscopatu	arciepiscopatus
arciepiscopatum	arciepiscopatus
soluendarum	soluendorum
indulgentia	indulgentiam
indulgenciam	indulgentia
indulgentias	indulgentiis
consenserint	consenserit
estimatione	estimationem
extimationem	estimatione
malmesburie	malmesburia
malmesburiam	malmesburia
propinquiorem	propinquiores
propinquiore	propinquior
propinquioris	propinquiores
contingentes	contingente
contingent	contingente
pontigniaci	pontiniaci
reparatione	reparationem
presentationi	presentationis
archiepiscopi	arciepiscopi
archiepiscopis	arciepiscopi
consentientes	consentiente
consenciente	consentientes
helemosinis	elemosinis
eleemosinis	elemosinis
dilectione	dilectionem
anuntiationem	anunciationem
anunciatione	anuntiationem
territoriis	teritoriis
conditioni	conditionis
condicionis	conditionis
inquietaret	inquietare
intentionem	intentione
inpedimentum	impedimentum
infirmitatem	infirmitate
exceptiones	exceptione
exceptionem	exceptione
constabularium	constabularius
constabulariis	constabularius
conestabularius	constabularius
resignatione	resignationem
autisiodoro	autisiodori
autisiodor	autisiodori
altisiodori	autisiodoro
confectione	confectionem
constructam	constructum
constructas	constructis
concesserit	conceserit
warantizabit	warantizauit
warentizauit	warantizauit
possessiones	possessionem
possessione	possessionem
possessionum	possessionem
temeritatem	temeritate
constituerant	constituerat
satisfaceret	satisfacere
confitentur	confitetur
quotienscumque	quocienscumque
quocienscunque	quotienscumque
etheldredus	ethelredus
